Ttra.rna.tri.1.1	Ttra.rna.tri.1
Ttra.rna.tri.1.2	Ttra.rna.tri.1
Ttra.rna.tri.2.1	Ttra.rna.tri.2
Ttra.rna.tri.3.1	Ttra.rna.tri.3
Ttra.rna.tri.4.1	Ttra.rna.tri.4
Ttra.rna.tri.4.2	Ttra.rna.tri.4
Ttra.rna.tri.5.1	Ttra.rna.tri.5
Ttra.rna.tri.6.1	Ttra.rna.tri.6
Ttra.rna.tri.7.1	Ttra.rna.tri.7
Ttra.rna.tri.8.1	Ttra.rna.tri.8
Ttra.rna.tri.9.1	Ttra.rna.tri.9
Ttra.rna.tri.10.1	Ttra.rna.tri.10
Ttra.rna.tri.10.2	Ttra.rna.tri.10
Ttra.rna.tri.11.1	Ttra.rna.tri.11
Ttra.rna.tri.12.1	Ttra.rna.tri.12
Ttra.rna.tri.13.1	Ttra.rna.tri.13
Ttra.rna.tri.14.1	Ttra.rna.tri.14
Ttra.rna.tri.15.1	Ttra.rna.tri.15
Ttra.rna.tri.16.1	Ttra.rna.tri.16
Ttra.rna.tri.17.1	Ttra.rna.tri.17
Ttra.rna.tri.18.1	Ttra.rna.tri.18
Ttra.rna.tri.19.1	Ttra.rna.tri.19
Ttra.rna.tri.20.1	Ttra.rna.tri.20
Ttra.rna.tri.21.1	Ttra.rna.tri.21
Ttra.rna.tri.22.1	Ttra.rna.tri.22
Ttra.rna.tri.23.1	Ttra.rna.tri.23
Ttra.rna.tri.24.1	Ttra.rna.tri.24
Ttra.rna.tri.25.1	Ttra.rna.tri.25
Ttra.rna.tri.26.1	Ttra.rna.tri.26
Ttra.rna.tri.27.1	Ttra.rna.tri.27
Ttra.rna.tri.28.1	Ttra.rna.tri.28
Ttra.rna.tri.29.1	Ttra.rna.tri.29
Ttra.rna.tri.30.1	Ttra.rna.tri.30
Ttra.rna.tri.31.1	Ttra.rna.tri.31
Ttra.rna.tri.32.1	Ttra.rna.tri.32
Ttra.rna.tri.33.1	Ttra.rna.tri.33
Ttra.rna.tri.34.1	Ttra.rna.tri.34
Ttra.rna.tri.35.1	Ttra.rna.tri.35
Ttra.rna.tri.36.1	Ttra.rna.tri.36
Ttra.rna.tri.37.1	Ttra.rna.tri.37
Ttra.rna.tri.37.2	Ttra.rna.tri.37
Ttra.rna.tri.38.1	Ttra.rna.tri.38
Ttra.rna.tri.39.1	Ttra.rna.tri.39
Ttra.rna.tri.40.1	Ttra.rna.tri.40
Ttra.rna.tri.41.1	Ttra.rna.tri.41
Ttra.rna.tri.42.1	Ttra.rna.tri.42
Ttra.rna.tri.43.1	Ttra.rna.tri.43
Ttra.rna.tri.44.1	Ttra.rna.tri.44
Ttra.rna.tri.45.1	Ttra.rna.tri.45
Ttra.rna.tri.46.1	Ttra.rna.tri.46
Ttra.rna.tri.47.1	Ttra.rna.tri.47
Ttra.rna.tri.48.1	Ttra.rna.tri.48
Ttra.rna.tri.49.1	Ttra.rna.tri.49
Ttra.rna.tri.50.1	Ttra.rna.tri.50
Ttra.rna.tri.51.1	Ttra.rna.tri.51
Ttra.rna.tri.52.1	Ttra.rna.tri.52
Ttra.rna.tri.53.1	Ttra.rna.tri.53
Ttra.rna.tri.53.2	Ttra.rna.tri.53
Ttra.rna.tri.54.1	Ttra.rna.tri.54
Ttra.rna.tri.55.1	Ttra.rna.tri.55
Ttra.rna.tri.56.1	Ttra.rna.tri.56
Ttra.rna.tri.56.2	Ttra.rna.tri.56
